id,persona,group,purchasingAuthority,decisionRole,oneCallCategories,oneCallWorkTypes,matchKeywords,intents,needs,wants,painPoints,guidance,services,accessModes,siteSpecific,proPotential,managerEscalation,conversionPriority,summary
planning-consultant,Planning consultant,Professional / planning,Specifier / buyer,Specifier,Planning Applications,Single property | Tree preservation order | Commercial / industrial development,planning consultant | planning application | constraints | planning evidence | development appraisal,prepare planning evidence | identify constraints | support application,Constraint clarity | Evidence packs | Environmental and utility context,Reduce planning risk | Package evidence | Advise client early,Multiple datasets | Unclear utility impact | Late constraints,Planning and environmental resource pack | TPO guidance | Utility plans explained,Environmental Constraints Report | Open Water Proximity Risk Report | OneCall Utility Search | Comprehensive Premium Search,Guest guidance | Login for reports/search,Yes for reports,Medium,No,Reports + comprehensive search,Professional user who may start with constraints rather than OneCall.
council-planner,Council planner,Public sector / planning,Influencer / gatekeeper,Gatekeeper,Planning Applications,Single property | Tree preservation order | Commercial / industrial development,council planner | planning officer | local authority planning | planning condition | tpo | application review,review application | understand constraints | manage planning conditions,Transparent guidance | Constraint awareness | Public-sector resources,Consistent interpretation | Easy reference material | Support for public enquiries,Limited purchasing authority | Fragmented information | Time pressure,Planning and environmental resource pack | TPO guidance | Watercourses and drainage guidance | Utility plans explained,Environmental Constraints Report | Open Water Proximity Risk Report | OneCall Utility Search if needed,Guest guidance | Organisation login for reports,Sometimes,Medium via organisation,Often,Guidance and report influence,Gatekeeper persona who may not buy directly but can influence requirements.
council-highways-worker,Council highways worker / operative,Public sector / operational,Operational doer,Doer,Highways,Street furniture | Resurfacing | Traffic calming,council worker | highways operative | local authority highways | street works | street furniture | maintenance,street works | maintenance | install street furniture,Safe works guidance | Escalation route | Compliance reminders,Clear instructions | Avoid strike | Know who authorises searches,No purchase control | Operational pressure | Often not policy owner,Highways guidance | HSG47 summary | Toolbox talk,OneCall Utility Search | Share with manager | History if organisation account,Guest guidance | Organisation login for search,Yes for search,Low to medium via council,Yes,Guidance and escalation,Operational persona requiring safe guidance and manager escalation.
ecologist,Ecologist,Environmental / ecology,Direct buyer / specifier,Specialist consultant,Watercourses/Canals/Drainage | Planning Applications,Ditch clearance | Tree preservation order | Single property,ecologist | ecology | habitat | watercourse | protected species | biodiversity | environmental constraints,assess ecological constraints | work near watercourse | review habitat impact,Environmental constraints | Open water proximity | Planning/TPO context,Site-specific report | Clear non-utility recommendations | Evidence for client,Utility search may not be first need | Data fragmentation | Client uncertainty,Watercourses and drainage guidance | Planning and environmental resource pack | TPO guidance,Open Water Proximity Risk Report | Environmental Constraints Report | OneCall Utility Search if works planned,Guest guidance | Login for reports,Yes for reports,Medium,No,Environmental reports / Open Water,Specialist persona that validates report-led recommendations not always tied to OneCall first.
environmental-consultant,Environmental consultant,Environmental / consulting,Direct buyer / specifier,Consultant buyer,Watercourses/Canals/Drainage | Planning Applications,Ditch clearance | Field drainage | Commercial / industrial development,environmental consultant | environmentalist | constraints screening | open water | flood risk | drainage impact,site environmental review | constraints screening | watercourse assessment,Constraints data | Open water and drainage risks | Client-ready outputs,Report generation | Evidence pack | Optional utility context,Multiple sources | Unclear service packaging | Need fast screening,Environmental restrictions guide | Watercourses and drainage guidance | Planning resource pack,Environmental Constraints Report | Open Water Proximity Risk Report | Comprehensive Premium Search | OneCall Utility Search,Guest guidance | Login for reports | Pro for repeat use,Yes for reports,High,No,Reports and Pro potential,High-value niche persona for constraints-led revenue.
land-surveyor,Land surveyor,Survey / professional,Direct buyer / service provider,Specialist buyer,Utility Works | Planning Applications | Domestic Works (General public),Multiple site investigation categories,land surveyor | topographical survey | site survey | survey scope | pre construction survey | surveying,define survey scope | site survey | pre-construction survey,Utility context | PAS128 clarity | Survey scope clarity,Better client brief | Right survey type | Plan and WKT context,Clients under-specify | Survey ordered too late | Unclear utility risk,PAS128 summary guide | Utility plans explained | Survey scope guide,Select Surveys Quote Request | PAS128 / GPR Survey Quote | OneCall Utility Search | Top-Up Search,Guest guidance | Login for quote/search,Yes for quote/search,Medium,No,Select / survey quote route,Survey persona can both consume and generate qualified survey leads.
utility-surveyor,Utility surveyor / PAS128 provider,Survey / professional,Service provider / influencer,Partner / specialist,Utility Works | Highways | Planning Applications,All excavation-related categories,utility survey | utility surveyor | pas128 | gpr | ground penetrating radar | utility detection | mark out | survey utilities | doing a utility survey,utility detection | PAS128 survey | GPR survey | mark-out,Qualified leads | Clear site geometry | Client education,Good scope details | WKT and site thumbnail | Pre-qualified quote request,Poor briefs | Unclear extents | Clients misunderstand PAS128,PAS128 summary guide | Survey buyer guide | Utility plans explained,Select Surveys Quote Request | PAS128 / GPR Survey Quote | Partner lead routing | OneCall Utility Search,Login / partner | Guest education,Yes,Partner potential,No,Lead quality and partner workflow,Service-provider persona informs the data needed in quote forms.
developer,Developer,Property / development,Direct buyer,Strategic buyer,Planning Applications | Utility Works,Commercial / industrial development | Linear project cross country | Single property,developer | development site | site acquisition | feasibility | commercial development | large development,site acquisition | development feasibility | planning risk | large site review,Early constraints | Large site handling | Premium evidence,De-risk acquisition | Understand utilities early | Commission surveys/reports,Late utility discovery | Multi-disciplinary constraints | Programme risk,Planning and environmental resource pack | Large site guidance | PAS128 summary guide,Comprehensive Premium Search | Large Site Search | Open Water Proximity Risk Report | Environmental Constraints Report | Select Surveys Quote Request,Login | Pro for repeat developers,Yes,High,No,Premium and large site services,High purchasing-power persona with strong premium conversion potential.
landowner-agent,Landowner / land agent,Property / land,Direct buyer / influencer,Land and project influencer,Planning Applications | Watercourses/Canals/Drainage | Utility Works,Tree preservation order | Field drainage | Linear project cross country,landowner | land agent | estate land | farm | access works | land sale | development potential,land sale | access works | drainage works | development potential,Utilities and constraints | Open water / drainage context | Client/adviser packs,Understand land risk | Share evidence | Commission reports if needed,Unknown services across land | Environmental constraints | Unclear development implications,Planning and environmental resource pack | Watercourses and drainage guidance | Utility plans explained,OneCall Utility Search | Large Site Search | Open Water Proximity Risk Report | Environmental Constraints Report,Guest guidance | Login for reports/search,Yes,Medium,No,Report/search package,Land-focused persona spanning utility and constraints logic.
vacuum-excavation-contractor,Vacuum excavation contractor,Field services / partner,Service provider / partner,Partner,Utility Works | Highways,Excavation categories | Linear project in highway,vacuum excavation | vac ex | suction excavation | safe exposure | expose services | high risk excavation,provide vacuum excavation | safe exposure of services | support high-risk excavation,Qualified leads | Site details | Utility risk context,Be recommended when risk is high | Receive usable site data | Integrate with quote workflow,Called too late | Poor site information | Unclear scope,Vacuum excavation explainer | HSG47 summary | PAS128 guide,Vacuum Excavation Request | Select Surveys Quote Request | Partner lead routing,Partner / login,Yes,Partner potential,No,Future partner service route,Future service persona for high-risk excavation recommendations.
insurance-risk,Insurance / claims / risk user,Risk / assurance,Influencer / buyer,Assurance user,Not initially dropdown-led,Not initially work-type-led,insurance | claims | incident | risk | audit | evidence | defensible process | strike investigation,review incident | evidence safe process | reduce strike risk,Audit evidence | Process proof | Incident prevention content,Clear history | Payload export | Compliance evidence,Evidence scattered | Hard to prove diligence | Limited context after incident,Incident prevention guide | Safe digging policy pack | HSG47 summary,Evidence pack | History export | Pro account | Audit dashboard,Login / Pro,Sometimes,High,No,Pro / evidence products,Assurance persona focused on record-keeping and governance rather than enquiry initiation.
training-compliance-lead,Training / compliance lead,Risk / assurance,Influencer / buyer,Training buyer,Not initially dropdown-led,Not initially work-type-led,training | compliance lead | toolbox talk | safe digging training | policy template | competence,train teams | standardise safe digging | reduce strikes,Repeatable training content | Policy templates | Toolbox talks,Accessible library | Trackable resources | Premium content,Inconsistent understanding | No single hub | Hard to keep content current,Toolbox talks | Safe digging policy pack | HSG47 summary | Service connection guide,Pro account | Premium training content | Team dashboard,Guest for public guidance | Pro for premium tools,No initially,High,No,Pro content subscription,Knowledge-led persona that supports the library-first proposition.
council-manager,Council manager / service lead,Public sector / management,Budget holder / approver,Manager / service lead,Highways | Planning Applications | Utility Works,Multiple public-sector works categories,council manager | service lead | head of highways | public sector manager | local authority manager,manage public works risk | approve searches | standardise team process,Team visibility | Compliance process | Cost control,Reduce strikes | Support operatives | Standardise procurement,Budget constraints | Fragmented process | Operational consistency,Highways guidance | Safe digging policy pack | C2 manager guide,Organisation account | Team dashboard | OneCall Utility Search | Pro account,Organisation login | Pro / enterprise,Sometimes,High,No,Organisation account / team workflow,Manager persona converting operational needs into account-level workflow.
project-manager,Construction project manager,Management / delivery,Project buyer,Delivery manager,Utility Works | Highways | Planning Applications,Single excavations site (deeper than 1.5m) | Linear project in highway | Commercial / industrial development,project manager | project delivery | programme delay | site risk | construction pm | works manager,manage project risk | plan site works | order survey | coordinate utility search,Programme confidence | Joined-up services | Evidence for team,Avoid delays | Coordinate searches and surveys | Reduce unknowns,Late utility information | Multiple suppliers | Unclear accountability,Utility plans explained | PAS128 summary guide | HSG47 summary,OneCall Utility Search | Comprehensive Premium Search | Select Surveys Quote Request | Vacuum Excavation Request,Login | Pro for repeat projects,Yes,High,No,Search + survey + field service bundle,Delivery manager persona with strong cross-sell potential.
architect-technician,Architectural technician,Professional / design,Influencer / specifier,Technical doer / specifier,Planning Applications | Domestic Works (General public),Single property | Domestic building project,architectural technician | cad technician | planning drawings | technical drawings | building regs,prepare drawings | support planning application | check constraints early,Clear constraints | Client guidance | Simple evidence routes,Avoid redesign | Give client clear advice | Access reusable resources,May not control budget | Late information from client | Unclear search needs,Planning resource pack | PAS128 summary guide | Utility plans explained,OneCall Utility Search | Top-Up Search | Select Surveys Quote Request,Guest guidance | Login if ordering,Often,Medium,Sometimes,Specifier guidance and client escalation,Doer/specifier persona that can influence purchase decisions.
rural-contractor,Rural contractor / agricultural works,Contractor / rural,Direct buyer,Operational buyer,Watercourses/Canals/Drainage | Utility Works | Planning Applications,Field drainage | Ditch clearance | Linear project cross country,agricultural | farm track | field drainage | rural works | ditch | land drainage | estate works,field drainage | farm access works | ditch clearance | rural excavation,Cross-country utility context | Drainage and watercourse guidance | Land risk,Avoid unknown services | Understand drainage constraints | Simple rural guidance,Sparse records | Long linear sites | Environmental constraints,Watercourses and drainage guidance | HSG47 summary | Open water risk explainer,OneCall Utility Search | Large Site Search | Open Water Proximity Risk Report | Environmental Constraints Report,Guest guidance | Login for site-specific,Yes,Medium,No,Large/rural search plus environmental reports,Useful extension persona for rural/estate works.
tree-surgeon-arborist,Tree surgeon / arborist,Contractor / specialist,Direct buyer or doer,Specialist doer / buyer,Planning Applications | Domestic Works (General public),Tree preservation order | Domestic building project,tree surgeon | arborist | tree works | stump grinding | root protection | tpo | tree preservation,tree works | stump removal | work near protected tree | root-zone excavation,TPO and root-zone context | Service risk guidance | Client-friendly advice,Avoid utility strike during stump works | Comply with tree constraints | Know when to search,TPO uncertainty | Hidden services near trees | Small job economics,TPO guidance | Householder Safe Digging Checklist | Service connection risk guide,OneCall Utility Search | Environmental Constraints Report | Top-Up Search,Guest guidance | Login for site-specific,Sometimes,Low to medium,Sometimes,"Guidance first, search/report if excavation",Specialist small-works persona with TPO and utility crossover.
telecoms-contractor,Telecoms contractor,Utility / asset owner supply chain,Direct buyer / operational buyer,Operational buyer,Utility Works | Highways,Linear project in highway | Single excavations site (1.5m or shallower),telecoms | fibre | duct | cabinet | chamber | broadband | street works,install fibre | repair telecoms duct | install cabinet | open footway,Fast highway context | Utility avoidance | Repeat works,Avoid damaging services | Use repeat workflows | Save templates,Dense footway utilities | Programme pressure | Repeat small digs,HSG47 summary | Highways guidance | Utility plans explained,OneCall Utility Search | Top-Up Search | Saved templates | Pro account,Login | Pro likely,Yes,High,No,OneCall plus repeat workflow,Repeat utility supply-chain persona for account workflow.
watercourse-manager,Watercourse / drainage authority user,Environmental / public sector,Influencer / buyer,Specialist gatekeeper,Watercourses/Canals/Drainage,Bank Works | Ditch clearance | Field drainage,watercourse manager | drainage board | canal | bank works | ditch clearance | water authority,review works near watercourse | approve drainage works | manage watercourse risk,Watercourse context | Environmental impact prompts | Clear site reports,Standardise advice | Reduce unsafe works | Identify conflicts early,Multiple data sources | Ambiguous responsibilities | Site-specific constraints,Watercourses and drainage guidance | Environmental restrictions guide | Open water risk explainer,Open Water Proximity Risk Report | Environmental Constraints Report | OneCall Utility Search,Guest guidance | Organisation login for reports,Yes for reports,Medium to high,Sometimes,Open Water and constraints route,Specialist persona strengthening the Open Water proposition.
